team,name,E,A,D,DMG,H,MIT
blue,['LUCKYOWL'],14,0,3,3919,0,15177
blue,"['DREAMZ', 'Knight']",5,13,5,2460,6305,3055
blue,"['0', 'DROKUI', 'Druid']",6,10,5,2716,5034,392
blue,"['0', 'FEVER', 'Stalwart Hero']",12,,6,4628,1731,2225
blue,['MAXXSKY'],14,0,3,8257,,3168
red,"['BRENNENATOR', 'Stalwart Hero']",,0,1,420,,353
red,"['DESMO', 'Shapeshifter']",10,0,3,6930,110,2471
red,"['DIRTATION', 'Neogun']",14,1,4,5499,478,529
red,['SIRBRONZEIII'],,4,5,1427,3451,830
red,"['YUNGSAND', 'Stalwart Hero']",14,,5,6417,2146,5942
